L,0.6194201,0.520094,1477010443000000,0.6,0.6,2.199972,0,0,0.004607615,
R,0.3985305,0.8113028,1.687812,1477010443020000,0.6439994,0.600002,2.199888,0.0002027247,9.215231E-05,0.009214907
L,0.805939,0.4739195,1477010443040000,0.6879972,0.6000101,2.199747,0.0006081212,0.0002764505,0.01382155,
R,1.322079,0.6738479,1.481492,1477010443060000,0.7319921,0.6000284,2.199551,0.001216091,0.0005528815,0.01842723
L,0.3567565,0.4983693,1477010443080000,0.7759831,0.6000608,2.199298,0.002026491,0.0009214261,0.02303161,
R,1.203194,0.6518123,1.789467,1477010443100000,0.8199691,0.6001115,2.198988,0.003039132,0.001382058,0.02763437
L,1.152743,0.758648,1477010443120000,0.8639488,0.6001844,2.198622,0.00425378,0.001934746,0.0322352,
R,0.821252,0.644381,1.964504,1477010443140000,0.9079212,0.6002837,2.198199,0.005670156,0.00257945,0.03683376
L,1.236802,0.7209425,1477010443160000,0.9518852,0.6004133,2.197718,0.007287935,0.003316125,0.04142974,
R,1.221049,0.5013483,2.079205,1477010443180000,0.9958395,0.6005772,2.19718,0.009106749,0.00414472,0.04602281
L,1.066692,0.5231187,1477010443200000,1.039783,0.6007796,2.196585,0.01112618,0.005065176,0.05061265,
R,1.496424,0.4771415,2.407602,1477010443220000,1.083715,0.6010243,2.19593,0.01334578,0.006077429,0.05519894
L,0.9651584,0.509869,1477010443240000,1.127633,0.6013155,2.195218,0.01576503,0.007181408,0.05978136,
R,1.312762,0.4617236,1.686419,1477010443260000,1.171537,0.601657,2.194446,0.01838338,0.008377035,0.06435958
L,1.061252,0.9295469,1477010443280000,1.215426,0.602053,2.193614,0.02120025,0.009664227,0.06893328,
R,0.9702715,0.3813726,2.142779,1477010443300000,1.259298,0.6025072,2.192722,0.02421498,0.01104289,0.07350214
L,1.178527,0.6870007,1477010443320000,1.303152,0.6030237,2.19177,0.02742691,0.01251294,0.07806585,
R,1.267772,0.460505,1.99752,1477010443340000,1.346987,0.6036065,2.190756,0.03083529,0.01407425,0.08262407
L,1.535402,0.5622585,1477010443360000,1.390801,0.6042594,2.18968,0.03443935,0.01572673,0.0871765,
R,1.78427,0.3946503,1.976232,1477010443380000,1.434594,0.6049864,2.188541,0.03823828,0.01747026,0.09172281
L,1.603402,0.6362937,1477010443400000,1.478364,0.6057913,2.187339,0.04223122,0.01930472,0.09626268,
R,1.92189,0.3609308,1.835301,1477010443420000,1.52211,0.606678,2.186073,0.04641724,0.02122997,0.1007958
L,1.732914,0.6452232,1477010443440000,1.565831,0.6076504,2.184742,0.05079541,0.02324589,0.1053218,
R,2.001845,0.3498964,1.833554,1477010443460000,1.609525,0.6087124,2.183345,0.05536472,0.02535233,0.1098405
L,1.504661,0.5684761,1477010443480000,1.65319,0.6098676,2.181881,0.06012414,0.02754914,0.1143514,
R,1.495093,0.3780457,1.63604,1477010443500000,1.696826,0.61112,2.18035,0.06507258,0.02983616,0.1188543
L,1.527556,0.7545552,1477010443520000,1.740432,0.6124733,2.17875,0.07020891,0.03221325,0.1233489,
R,1.824935,0.3785866,2.309841,1477010443540000,1.784005,0.6139312,2.177081,0.07553196,0.03468023,0.1278348
L,2.030569,0.6290493,1477010443560000,1.827545,0.6154975,2.175342,0.08104051,0.03723693,0.1323118,
R,1.663794,0.2945338,2.125696,1477010443580000,1.871049,0.6171759,2.173532,0.0867333,0.03988316,0.1367794
L,2.046201,0.5735139,1477010443600000,1.914518,0.61897,2.171649,0.09260903,0.04261875,0.1412375,
R,2.239718,0.2818543,2.097962,1477010443620000,1.957948,0.6208835,2.169693,0.09866635,0.0454435,0.1456856
L,1.808882,0.5807402,1477010443640000,2.001339,0.6229201,2.167662,0.1049039,0.04835721,0.1501236,
